srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool
42,2012-12-19 14:24:00,14,100,,,100,2068,2,4.0,1,1.61,0.1238,4.49,7,68.75,0,5740,1,87,2,0,1,1,,55.72,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
42,2012-12-19 14:24:00,14,100,,,100,14445,0,3.0,0,1.1,0.0457,4.95,13,50.56,0,5740,1,87,2,0,1,1,,57.56,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
42,2012-12-19 14:24:00,14,100,,,100,24416,2,0.0,0,0.69,0.0099,4.9,4,79.9,0,5740,1,87,2,0,1,1,,54.7,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,0
42,2012-12-19 14:24:00,14,100,,,100,27963,0,4.5,0,1.1,0.0573,4.95,12,123.4,0,5740,1,87,2,0,1,1,,57.84,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
42,2012-12-19 14:24:00,14,100,,,100,48834,2,3.5,0,0.69,0.0347,4.9,3,70.8,0,5740,1,87,2,0,1,1,,55.94,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,0
42,2012-12-19 14:24:00,14,100,,,100,61713,2,4.0,1,0.0,0.2079,5.13,1,108.2,0,5740,1,87,2,0,1,1,,57.56,0,,,,,,,,,,,,,,,,,,,,,,,,,1,122.3,1
42,2012-12-19 14:24:00,14,100,,,100,61911,2,4.0,1,1.39,0.147,4.82,9,104.2,0,5740,1,87,2,0,1,1,,55.66,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
42,2012-12-19 14:24:00,14,100,,,100,64773,2,2.5,1,1.1,0.0693,4.9,6,80.94,0,5740,1,87,2,0,1,1,,56.66,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
42,2012-12-19 14:24:00,14,100,,,100,71686,3,4.5,1,1.1,0.2573,5.11,2,147.6,0,5740,1,87,2,0,1,1,,55.62,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
42,2012-12-19 14:24:00,14,100,,,100,78743,2,3.5,1,1.39,0.0666,4.37,8,70.8,0,5740,1,87,2,0,1,1,,56.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
42,2012-12-19 14:24:00,14,100,,,100,82226,3,3.0,1,1.39,0.1367,5.08,10,135.5,0,5740,1,87,2,0,1,1,,55.6,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,3067,2,4.0,1,2.4,,4.29,36,85.0,0,23105,1,235,2,0,1,1,,173.2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,7766,4,4.5,1,1.1,,5.22,30,89.0,0,23105,1,235,2,0,1,1,,169.1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,9488,2,2.5,0,0.69,0.0323,4.41,15,70.0,0,23105,1,235,2,0,1,1,,177.5,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,10337,4,4.0,1,2.89,0.1053,5.2,7,118.0,0,23105,1,235,2,0,1,1,,176.6,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,12391,3,3.5,1,0.69,,4.78,24,90.0,0,23105,1,235,2,0,1,1,,170.2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,12749,3,0.0,1,1.79,,6.05,22,149.0,0,23105,1,235,2,0,1,1,,180.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,23308,3,4.0,1,2.89,0.261,5.09,1,144.0,1,23105,1,235,2,0,1,1,,176.2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,23685,3,3.5,1,2.4,,4.99,37,100.0,0,23105,1,235,2,0,1,1,,173.4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,30775,3,4.0,1,0.69,,4.94,26,109.0,0,23105,1,235,2,0,1,1,,170.1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,40394,4,4.0,1,1.61,0.0108,5.24,16,104.0,0,23105,1,235,2,0,1,1,,179.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,42164,4,4.5,1,2.89,0.138,5.56,10,229.0,0,23105,1,235,2,0,1,1,,176.1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,50096,3,4.5,1,2.89,0.267,5.31,12,199.0,0,23105,1,235,2,0,1,1,,176.2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,50458,3,3.0,1,2.77,0.0565,4.91,14,140.0,0,23105,1,235,2,0,1,1,,176.8,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,52756,4,4.0,1,2.77,0.153,5.16,4,140.0,0,23105,1,235,2,0,1,1,,176.6,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,52948,4,4.0,1,2.4,0.021,4.95,34,88.0,0,23105,1,235,2,0,1,1,,173.1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,63425,3,4.5,1,2.48,,4.84,28,79.0,0,23105,1,235,2,0,1,1,,173.4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,76403,4,4.5,1,2.89,0.2104,5.35,3,144.0,0,23105,1,235,2,0,1,1,,176.2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
114,2013-04-02 08:20:10,5,219,,,219,78145,5,4.5,1,2.89,0.0889,5.56,13,359.0,0,23105,1,235,2,0,1,1,,176.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
